source,label,rules,sentence
12_dexénbre,ligurian,template_boilerplate,O 12 dexénbre o l'é o 346° giórno de l'ànno (347° inti ànni bizestîli) segondo o Lûnäio Gregorian.
12_dexénbre,ligurian,template_boilerplate,Màncan 19 giórni a-a fin de l'ànno.
12_dexénbre,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 12 dexénbre
12_frevâ,ligurian,template_boilerplate,O 12 frevâ o l'é o 43° giórno de l'ànno segondo o Lûnäio Gregorian.
12_frevâ,ligurian,template_boilerplate,Mancan 322 giórni a-a fin de l'ànno (323 inti ànni bizestîli) Wikimedia Commons a contêgne di files in sce 12 frevâ
12_lûggio,ligurian,template_boilerplate,O 12 lûggio o l'é o 193° giórno de l'ànno (194° inti ànni bizestîli) segondo o Lûnäio Gregorian.
12_lûggio,ligurian,template_boilerplate,Màncan 172 giórni a-a fin de l'ànno.
12_lûggio,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 12 lûggio
12_marso,ligurian,template_boilerplate,O 12 marso o l'é o 71° giórno de l'ànno (72° inti ànni bizestîli) segondo o Lûnäio Gregorian.
12_marso,ligurian,template_boilerplate,Mancân 294 giórni a-a fin de l'ànno.
12_marso,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 12 marso
12_mazzo,ligurian,template_boilerplate,O 12 mazzo o l'é o 132° giórno de l'ànno (133° inti ànni bizestîli) segondo o Lûnäio Gregorian.
12_mazzo,ligurian,template_boilerplate,Màncan 233 giórni a-a fin de l'ànno.
12_mazzo,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 12 mazzo
12_novénbre,ligurian,template_boilerplate,O 12 novénbre o l'é o 316° giórno de l'ànno (317° inti ànni bizestîli) segondo o Lûnäio Gregorian.
12_novénbre,ligurian,template_boilerplate,Màncan 49 giórni a-a fin de l'ànno.
12_novénbre,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 12 novénbre
12_seténbre,ligurian,template_boilerplate,O 12 seténbre o l'é o 255° giórno de l'ànno (256° inti ànni bizestîli) segondo o Lûnäio Gregorian.
12_seténbre,ligurian,template_boilerplate,Màncan 110 giórni a-a fin de l'ànno.
12_seténbre,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 12 seténbre
12_zenâ,ligurian,template_boilerplate,O 12 zenâ o l'é o 12° giórno de l'ànno segondo o Lûnäio Gregorian.
12_zenâ,ligurian,template_boilerplate,Mancan 353 giórni a-a fin de l'ànno (354 inti ànni bizestîli) Wikimedia Commons a contêgne di files in sce 12 zenâ
12_zûgno,ligurian,template_boilerplate,O 12 zûgno o l'é o 163° giórno de l'ànno (164° inti ànni bizestîli) segondo o Lûnäio Gregorian.
12_zûgno,ligurian,template_boilerplate,Màncan 202 giórni a-a fin de l'ànno.
12_zûgno,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 12 zûgno
12_òtôbre,ligurian,template_boilerplate,O 12 òtôbre o l'é o 285° giórno de l'ànno (286° inti ànni bizestîli) segondo o Lûnäio Gregorian.
12_òtôbre,ligurian,template_boilerplate,Màncan 80 giórni a-a fin de l'ànno.
12_òtôbre,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 12 òtôbre
13,ligurian,template_boilerplate,O 13 (XIII in nùmeri români) o l'é 'n ànno  do  I secolo.
13,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 13
130,ligurian,template_boilerplate,O 130 (CXXX in nùmeri români) o l'é 'n ànno  do  II secolo.
130,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 130
1300,ligurian,template_boilerplate,O 1300 (MCCC in nùmeri români) o l'é 'n ànno bizestîle do  XIII secolo.
1300,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1300
1301,ligurian,template_boilerplate,O 1301 (MCCCI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1301,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1301
1302,ligurian,template_boilerplate,O 1302 (MCCCII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1302,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1302
1303,ligurian,template_boilerplate,O 1303 (MCCCIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1303,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1303
1304,ligurian,template_boilerplate,O 1304 (MCCCIV in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1304,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1304
1305,ligurian,template_boilerplate,O 1305 (MCCCV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1305,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1305
1306,ligurian,template_boilerplate,O 1306 (MCCCVI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1306,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1306
1307,ligurian,template_boilerplate,O 1307 (MCCCVII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1307,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1307
1308,ligurian,template_boilerplate,O 1308 (MCCCVIII in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1308,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1308
1309,ligurian,template_boilerplate,O 1309 (MCCCIX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1309,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1309
131,ligurian,template_boilerplate,O 131 (CXXXI in nùmeri români) o l'é 'n ànno  do  II secolo.
131,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 131
1310,ligurian,template_boilerplate,O 1310 (MCCCX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1310,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1310
1311,ligurian,template_boilerplate,O 1311 (MCCCXI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1311,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1311
1312,ligurian,template_boilerplate,O 1312 (MCCCXII in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1312,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1312
1313,ligurian,template_boilerplate,O 1313 (MCCCXIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1313,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1313
1314,ligurian,template_boilerplate,O 1314 (MCCCXIV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1314,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1314
1315,ligurian,template_boilerplate,O 1315 (MCCCXV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1315,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1315
1316,ligurian,template_boilerplate,O 1316 (MCCCXVI in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1316,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1316
1317,ligurian,template_boilerplate,O 1317 (MCCCXVII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1317,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1317
1318,ligurian,template_boilerplate,O 1318 (MCCCXVIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1318,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1318
1319,ligurian,template_boilerplate,O 1319 (MCCCXIX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1319,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1319
131_a.C.,ligurian,template_boilerplate,C. (CXXXI a. C. in nùmeri români) o l'é 'n ànno  do  II secolo a.
131_a.C.,ligurian,template_boilerplate,C. Wikimedia Commons a contêgne di files in sce 131 a.
132,ligurian,template_boilerplate,O 132 (CXXXII in nùmeri români) o l'é 'n ànno bizestîle do  II secolo.
132,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 132
1320,ligurian,template_boilerplate,O 1320 (MCCCXX in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1320,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1320
1321,ligurian,template_boilerplate,O 1321 (MCCCXXI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1321,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1321
1322,ligurian,template_boilerplate,O 1322 (MCCCXXII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1322,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1322
1323,ligurian,template_boilerplate,O 1323 (MCCCXXIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1323,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1323
1324,ligurian,template_boilerplate,O 1324 (MCCCXXIV in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1324,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1324
1325,ligurian,template_boilerplate,O 1325 (MCCCXXV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1325,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1325
1326,ligurian,template_boilerplate,O 1326 (MCCCXXVI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1326,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1326
1327,ligurian,template_boilerplate,O 1327 (MCCCXXVII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1327,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1327
1328,ligurian,template_boilerplate,O 1328 (MCCCXXVIII in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1328,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1328
1329,ligurian,template_boilerplate,O 1329 (MCCCXXIX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1329,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1329
132_a.C.,ligurian,template_boilerplate,C. (CXXXII a. C. in nùmeri români) o l'é 'n ànno  do  II secolo a.
132_a.C.,ligurian,template_boilerplate,C. Wikimedia Commons a contêgne di files in sce 132 a.
133,ligurian,template_boilerplate,O 133 (CXXXIII in nùmeri români) o l'é 'n ànno  do  II secolo.
133,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 133
1330,ligurian,template_boilerplate,O 1330 (MCCCXXX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1330,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1330
1331,ligurian,template_boilerplate,O 1331 (MCCCXXXI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1331,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1331
1332,ligurian,template_boilerplate,O 1332 (MCCCXXXII in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1332,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1332
1333,ligurian,template_boilerplate,O 1333 (MCCCXXXIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1333,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1333
1334,ligurian,template_boilerplate,O 1334 (MCCCXXXIV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1334,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1334
1335,ligurian,template_boilerplate,O 1335 (MCCCXXXV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1335,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1335
1336,ligurian,template_boilerplate,O 1336 (MCCCXXXVI in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1336,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1336
1337,ligurian,template_boilerplate,O 1337 (MCCCXXXVII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1337,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1337
1338,ligurian,template_boilerplate,O 1338 (MCCCXXXVIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1338,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1338
1339,ligurian,template_boilerplate,O 1339 (MCCCXXXIX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1339,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1339
133_a.C.,ligurian,template_boilerplate,C. (CXXXIII a. C. in nùmeri români) o l'é 'n ànno  do  II secolo a.
133_a.C.,ligurian,template_boilerplate,C. Wikimedia Commons a contêgne di files in sce 133 a.
134,ligurian,template_boilerplate,O 134 (CXXXIV in nùmeri români) o l'é 'n ànno  do  II secolo.
134,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 134
1340,ligurian,template_boilerplate,O 1340 (MCCCXL in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1340,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1340
1341,ligurian,template_boilerplate,O 1341 (MCCCXLI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1341,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1341
1342,ligurian,template_boilerplate,O 1342 (MCCCXLII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1342,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1342
1343,ligurian,template_boilerplate,O 1343 (MCCCXLIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1343,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1343
1344,ligurian,template_boilerplate,O 1344 (MCCCXLIV in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1344,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1344
1345,ligurian,template_boilerplate,O 1345 (MCCCXLV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1345,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1345
1346,ligurian,template_boilerplate,O 1346 (MCCCXLVI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1346,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1346
1347,ligurian,template_boilerplate,O 1347 (MCCCXLVII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1347,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1347
1348,ligurian,template_boilerplate,O 1348 (MCCCXLVIII in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1348,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1348
1349,ligurian,template_boilerplate,O 1349 (MCCCXLIX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1349,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1349
134_a.C.,ligurian,template_boilerplate,C. (CXXXIV a. C. in nùmeri români) o l'é 'n ànno  do  II secolo a.
135,ligurian,template_boilerplate,O 135 (CXXXV in nùmeri români) o l'é 'n ànno  do  II secolo.
135,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 135
1350,ligurian,template_boilerplate,O 1350 (MCCCL in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1350,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1350
1351,ligurian,template_boilerplate,O 1351 (MCCCLI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1351,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1351
1352,ligurian,template_boilerplate,O 1352 (MCCCLII in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1352,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1352
1353,ligurian,template_boilerplate,O 1353 (MCCCLIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1353,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1353
1354,ligurian,template_boilerplate,O 1354 (MCCCLIV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1354,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1354
1355,ligurian,template_boilerplate,O 1355 (MCCCLV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1355,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1355
1356,ligurian,template_boilerplate,O 1356 (MCCCLVI in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1356,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1356
1357,ligurian,template_boilerplate,O 1357 (MCCCLVII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1357,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1357
1358,ligurian,template_boilerplate,O 1358 (MCCCLVIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1358,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1358
1359,ligurian,template_boilerplate,O 1359 (MCCCLIX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1359,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1359
135_a.C.,ligurian,template_boilerplate,C. (CXXXV a. C. in nùmeri români) o l'é 'n ànno  do  II secolo a.
135_a.C.,ligurian,template_boilerplate,C. Wikimedia Commons a contêgne di files in sce 135 a.
136,ligurian,template_boilerplate,O 136 (CXXXVI in nùmeri români) o l'é 'n ànno bizestîle do  II secolo.
136,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 136
1360,ligurian,template_boilerplate,O 1360 (MCCCLX in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1360,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1360
1361,ligurian,template_boilerplate,O 1361 (MCCCLXI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1361,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1361
1362,ligurian,template_boilerplate,O 1362 (MCCCLXII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1362,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1362
1363,ligurian,template_boilerplate,O 1363 (MCCCLXIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1363,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1363
1364,ligurian,template_boilerplate,O 1364 (MCCCLXIV in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1364,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1364
1365,ligurian,template_boilerplate,O 1365 (MCCCLXV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1365,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1365
1366,ligurian,template_boilerplate,O 1366 (MCCCLXVI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1366,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1366
1367,ligurian,template_boilerplate,O 1367 (MCCCLXVII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1367,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1367
1368,ligurian,template_boilerplate,O 1368 (MCCCLXVIII in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1368,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1368
1369,ligurian,template_boilerplate,O 1369 (MCCCLXIX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1369,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1369
136_a.C.,ligurian,template_boilerplate,C. (CXXXVI a. C. in nùmeri români) o l'é 'n ànno  do  II secolo a.
137,ligurian,template_boilerplate,O 137 (CXXXVII in nùmeri români) o l'é 'n ànno  do  II secolo.
137,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 137
1370,ligurian,template_boilerplate,O 1370 (MCCCLXX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1370,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1370
1371,ligurian,template_boilerplate,O 1371 (MCCCLXXI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1371,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1371
1372,ligurian,template_boilerplate,O 1372 (MCCCLXXII in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1372,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1372
1373,ligurian,template_boilerplate,O 1373 (MCCCLXXIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1373,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1373
1374,ligurian,template_boilerplate,O 1374 (MCCCLXXIV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1374,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1374
1375,ligurian,template_boilerplate,O 1375 (MCCCLXXV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1375,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1375
1376,ligurian,template_boilerplate,O 1376 (MCCCLXXVI in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1376,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1376
1377,ligurian,template_boilerplate,O 1377 (MCCCLXXVII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1377,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1377
1378,ligurian,template_boilerplate,O 1378 (MCCCLXXVIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1378,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1378
1379,ligurian,template_boilerplate,O 1379 (MCCCLXXIX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1379,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1379
137_a.C.,ligurian,template_boilerplate,C. (CXXXVII a. C. in nùmeri români) o l'é 'n ànno  do  II secolo a.
137_a.C.,ligurian,template_boilerplate,C. Wikimedia Commons a contêgne di files in sce 137 a.
138,ligurian,template_boilerplate,O 138 (CXXXVIII in nùmeri români) o l'é 'n ànno  do  II secolo.
138,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 138
1380,ligurian,template_boilerplate,O 1380 (MCCCLXXX in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1380,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1380
1381,ligurian,template_boilerplate,O 1381 (MCCCLXXXI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1381,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1381
1382,ligurian,template_boilerplate,O 1382 (MCCCLXXXII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1382,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1382
1383,ligurian,template_boilerplate,O 1383 (MCCCLXXXIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1383,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1383
1384,ligurian,template_boilerplate,O 1384 (MCCCLXXXIV in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1384,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1384
1385,ligurian,template_boilerplate,O 1385 (MCCCLXXXV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1385,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1385
1386,ligurian,template_boilerplate,O 1386 (MCCCLXXXVI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1386,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1386
1387,ligurian,template_boilerplate,O 1387 (MCCCLXXXVII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1387,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1387
1388,ligurian,template_boilerplate,O 1388 (MCCCLXXXVIII in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1388,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1388
1389,ligurian,template_boilerplate,O 1389 (MCCCLXXXIX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1389,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1389
138_a.C.,ligurian,template_boilerplate,C. (CXXXVIII a. C. in nùmeri români) o l'é 'n ànno  do  II secolo a.
138_a.C.,ligurian,template_boilerplate,C. Wikimedia Commons a contêgne di files in sce 138 a.
139,ligurian,template_boilerplate,O 139 (CXXXIX in nùmeri români) o l'é 'n ànno  do  II secolo.
139,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 139
1390,ligurian,template_boilerplate,O 1390 (MCCCXC in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1390,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1390
1391,ligurian,template_boilerplate,O 1391 (MCCCXCI in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1391,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1391
1392,ligurian,template_boilerplate,O 1392 (MCCCXCII in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1392,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1392
1393,ligurian,template_boilerplate,O 1393 (MCCCXCIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1393,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1393
1394,ligurian,template_boilerplate,O 1394 (MCCCXCIV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1394,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1394
1395,ligurian,template_boilerplate,O 1395 (MCCCXCV in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1395,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1395
1396,ligurian,template_boilerplate,O 1396 (MCCCXCVI in nùmeri români) o l'é 'n ànno bizestîle do  XIV secolo.
1396,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1396
1397,ligurian,template_boilerplate,O 1397 (MCCCXCVII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1397,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1397
1398,ligurian,template_boilerplate,O 1398 (MCCCXCVIII in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1398,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1398
1399,ligurian,template_boilerplate,O 1399 (MCCCXCIX in nùmeri români) o l'é 'n ànno  do  XIV secolo.
1399,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 1399
139_a.C.,ligurian,template_boilerplate,C. (CXXXIX a. C. in nùmeri români) o l'é 'n ànno  do  II secolo a.
139_a.C.,ligurian,template_boilerplate,C. Wikimedia Commons a contêgne di files in sce 139 a.
13_a.C.,ligurian,template_boilerplate,C. (XIII a. C. in nùmeri români) o l'é 'n ànno  do  I secolo a.
13_a.C.,ligurian,template_boilerplate,C. Wikimedia Commons a contêgne di files in sce 13 a.
13_agosto,ligurian,template_boilerplate,O 13 agosto o l'é o 225° giórno de l'ànno (226° inti ànni bizestîli) segondo o Lûnäio Gregorian.
13_agosto,ligurian,template_boilerplate,Màncan 140 giórni a-a fin de l'ànno.
13_agosto,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 13 agosto
13_arvî,ligurian,template_boilerplate,O 13 arvî o l'é o 103° giórno de l'ànno (104° inti ànni bizestîli) segondo o Lûnäio Gregorian.
13_arvî,ligurian,template_boilerplate,Màncan 262 giórni a-a fin de l'ànno.
13_arvî,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 13 arvî
13_dexénbre,ligurian,template_boilerplate,O 13 dexénbre o l'é o 347° giórno de l'ànno (348° inti ànni bizestîli) segondo o Lûnäio Gregorian.
13_dexénbre,ligurian,template_boilerplate,Màncan 18 giórni a-a fin de l'ànno.
13_dexénbre,ligurian,template_boilerplate,Wikimedia Commons a contêgne di files in sce 13 dexénbre
